"Название (черновое)";"Категория";"Населённый пункт/район";"Адрес";"Дата публикации";"Источник";"Ссылка";"Достоверность"
"Проверка кафе и ресторанов Казахстана: около 200 сотрудников работали без медосмотров";"Общепит";"не определён";"";"2025-11-08";"Казинформ";"https://news.google.com/rss/articles/CBMitwFBVV95cUxOa2pxT0c0NVlxalhIT3BZQ040cDJwcU9NaDNsWkFUc3RtMUowazF4NG1CN184UlFqZ0lWQ0VVaEFIQWRFWGVwbW5EcDItQVR1cGpDeEhEVkdhamNsZF92YnpqRWZBM2hPcDlyWHFWNWFYci1Sb2hqb3JtdE9zSEJHc1EtZlJuRmdoRDYwbXZ3LXF2VGNnOXFBRFcwVG85X1NJdFQ2Sk9ETkNqOVEyM0wyaHl4VXNQNXfSAbgBQVVfeXFMTm0xN3JBYk53MDR3VmN5ajB3LTg2NVA1MGJJOG9mVkVsWVhxTEdlSEJFbGFJOFFCMkZRUlU2UDhfV1ZSWHhidUMzNDFYWTllM0xKNkJjWFhCNzhUbEo4YzhIVklRclQ4TFl5ZEJrSGhzSW9FUHRTTmhaZmxxdlVQWUNhNVE4d1FKQkpEOVBLQW9xSTBqNzFwSk1RNVlfQzg0YXFubWt0YXN4eHR2Q0RNMk1jSlJFWVdBMQ?oc=5";"низкий"
"Стало известно, кем были большинство погибших во взрыве в кафе Щучинска";"Общепит";"Щучинск";"";"2026-02-27";"Kursiv Media";"https://news.google.com/rss/articles/CBMiyAFBVV95cUxOWjlxMTZmeDBkbHlobmd0SEJtYldBVmlLN3ZqNGQyeHdDb0p4ZXZHRHRHd2MzaG5JLU1Ncy1PT3prWXlwdzd1bWp4T25xZi1lRUtiaUR4WW5VemtCenlSalhHYzBLcDBJaExuZWI0ZU84UmoyY1gtb1FaeEFlNHBSM1QzMmVMU2x5OHplbUxqeTdXOWxhYURtTHpsak42alRuNl9zbHdzZzcydDUtZkltR0cxSDhGaDRtU0prMHFaQnNJLUE3OEtwRw?oc=5";"средний"
"Взрыв в кафе Щучинска: что известно о пострадавших";"Общепит";"Щучинск";"";"2026-02-27";"TengriNews";"https://news.google.com/rss/articles/CBMiowFBVV95cUxQM215MTVSVF9sUXFuZXk5Zk9IQXVTWjhnUzlmbjRfSjRvLTBUajh1Z09PZUtHTkNNMm1hc0tha1NEcmlnZ1RUZGtLUDhRT3B5MlV5OGlyVkhfSlNNR1pZTUs3Qy14SGczaU0yV2xCTTB5THFJV3dKcmdTWWswTlVTSTVmVmdPT200NlRlcDJ3dkZ4UTBsYWNkLVh5MUF5WGhSWTEw?oc=5";"средний"
"Штрафом отделался акмолинец, поставлявший собачатину в рестораны Астаны";"Общепит";"не определён";"";"2023-07-05";"Новости Zakon.kz";"https://news.google.com/rss/articles/CBMitwFBVV95cUxQaXd1WjZmbmg1SHlBcjhtZUR6QWlpQUhLaGo5MFdFREZmS1l1dFJYRk5fRnlfeHdiVFAtTlYyYl95WE95QVVvTmZtSTVTU08xVWN0ZzJaQjYxaTcwaVRiQkJyZkJkVHNZSVJZM3dmUWl3R2dDcktpdUZrUUVvRzhUaTdVMUpWVlY1WlkyVkFtRzdjdDVJUi1iMDdDclBQd3J1ekhQVU1XVF9mRUZvQUlYRmFsNzRPdFnSAbwBQVVfeXFMTWg1dkpBNjVjV0NRUEhRNXFrWHR2UENNaElJdGJaVTlVZXR0VGxSRFk0R0VPSmtmcjdlaTA3V09XNzVpTkZkTjVoQ0x2RDhxeTBkamVTbDZlVEFCWTN0dWdMMWlRTUw3cTRpZEUyQm1ILW9GOHBkbnl6RlBXbFRkMTZ4M3kzejJ1VlhYamxvaTVHQjdxTld1RFhhcUFTRUFIOFFhUTBseWZhWGJPdzlERFJObzdIaTlZcnZYbHo?oc=5";"низкий"
"Мужчина украл из аптеки ящик с пожертвованиями в Кокшетау";"Услуги";"Кокшетау";"";"2026-05-23";"Liter.kz";"https://news.google.com/rss/articles/CBMimwFBVV95cUxNSE50NDZySUhDMTZXbVR2dWhJMDVHSEtEUzJ5clU3NUJPZmtDQWRfckZZSWNhamhBVHBLelNJQTVBcUJpTnlmZmNNR2VIWDVJWFU3eWhDS2haeXlsMGExTVVPRkFPWHAxWnNDSWRmMWlZOEhPMUVyRjdxeFpIV2xDUVFzaWp3VnFydjBjRExGZFBqRnhBQThaUFBzSdIBoAFBVV95cUxOS1lUSWR5ZjNtTU80Q1p0dkNsa3phTGw1OWUtTmw0Z0JWYTJxaWwyMTdqT3ZaS1N4bUhsX3ZyZVJvMG55ODZzOVhfSk9CVHN0V016NXYwbVdtMlYwRkl2dmVYN09BU0FFRlpqUGVSdk5SRXZ2eWJMT29XaDFDYjhVV0NlN21WZWtKc1RMamVSSXJaVlc4cy1FVjJoeFJ3dzVj?oc=5";"средний"
"Новая поликлиника в Косшы будет принимать до 1000 человек за одну смену";"Услуги";"Косшы";"";"2026-01-17";"BAQ.KZ";"https://news.google.com/rss/articles/CBMipgFBVV95cUxNeDFmekdpYW9MTnNWb0ZwQVl0RFUxLXE3djNBYmZOODlFRHhtVzFVaG1WX2JKa09sYUZUNmt4QWVHZFR3TmdTdWlOa1RCcmpKd19TNGl0VThpMGc3YlJVZjZXcThnS1Iyam5IUzE2blI4T1EwS2xkQV82ZHdGZ0Z1TUxDOXJJWG9rVTk1aS1hVmFZb2tBTnFSTWk4WV96aXJfRHRpQjBB0gGyAUFVX3lxTFB3QXJ6VldrOGFUb2h1M204U1l4LWk5Vk0ySjNGUF9fSVhFZ2FIMmxVOGcybmJEQWI0Z1lBVEpocE5hRGViODh4SzdBUUxYSkRzVTVSdXVOVno3Y1dtWkg3a3dveVRnTmU2eVBJcDRLTWY4SFR6UzNuLXEyQ09xeGwxM2VvbV91bnU4VHdpRU9qeWdYcWUyUFRrcTIwb21LeUhKbzFmYkozLXB5Q21wNGN2Rmc?oc=5";"средний"
"Теплицу, детсад и пекарню открыли в трех акмолинских селах";"Общепит";"Акмолинск";"";"2016-12-02";"Казинформ";"https://news.google.com/rss/articles/CBMilwFBVV95cUxOUjZfVjZ1YVdMMkc3c1pFeXdMNFlUSms0QzFXNU0tRk43NHpNal80RXJvMm4tWThjM1I2ZGFkT3I2QmwtUElscEItZU8tVk5BR1o1MW9xUEhfUXZBUmNpWVZBRTBUOWlUclhXM3FlOXBUd2ltSkVYOXRWYUU0VXdHS2tzNElsUW5QLVNIQkdVMWJyRzNxLTc00gGYAUFVX3lxTE1tSGN2TGlYZ0hPekNsUUJFMEg2N3g0b1oyMzFScnVwdTg1b2lRTEJTcTRXVDZ1dlBmVGxOeUhKYUdJTEtMS3BSWU9fZ2gzU0JmMm1uNHM1UVJ3WEVaWm5kZnpWUWJyZ2d2ZlFiRkdHYzFvcGthRG9ralpyMVA4Z3hnb2FLQW1PaUkwd3pXcnZWV0w2TTYtLS1U?oc=5";"высокий"
"В каких регионах заработали СТО и магазины запчастей с 4 мая — Kolesa.kz || Почитать";"Торговля";"не определён";"";"2020-05-04";"Kolesa";"https://news.google.com/rss/articles/CBMimgFBVV95cUxNcmVBSHNkck5IWmtCNzhEc1lpcGpYYWxRdENYeUE2WlVDaUZGY0ZHOTNGYVNzdWxibEJpTVItX0ZlU19HVzBlVHBPUDFwbDU0aFI5dy1aRVpfdGpYTXRoVjNkaFg3Y3BxeXp1STNSd0xUaVpjWFdkNDRQUWVaVzhlSG5yOXlJOHB5YW16Zi1VOEJTdmVGNjRRYXp3?oc=5";"низкий"
"В ТРЦ Koksetau Mаll прошла презентация нового состава футбольной команды «Окжетпес»";"Торговля";"не определён";"";"2026-03-05";"gurk.kz";"https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVlhTMmlXLTJCb1E5bi03YTZ6NHpxR1FyalN3QzBvdmgzNnZIOXFfa2ZUekF5NVoteHZ2UmRWSEU5ZElFYkJNeXZscjRiall2bW9YN21tUm1tQWkzMmstNktQQzNvQ194b1JPeDdGMWZJcHFrQTE0eVhZSWtDQ1BaZ0R4TFpiSFBHdnB4V3F1RUdUWlJpUUNKUFNiVUVFVmcwOXQ3YXVINnhydw?oc=5";"низкий"
"Музей на месте принадлежавшего Боранбаеву ТЦ Алмалы откроется в 2026 году";"Торговля";"не определён";"";"2025-01-24";"Казинформ";"https://news.google.com/rss/articles/CBMirgFBVV95cUxQNFc2SUV4VVdqRDhLTVlkUVR2blIySHo2a3hySWVodmgtM2ZkdUZoUzVZc0ZyZkI0bWw3R2d2eUdoRGZ4alJRSENYMFM1Um1uS3dvRTFQWHNIcVh5UndfNXRNRlREMUtBYmJudlVnUkhRdW1rSGY5NTBRZGIxcFM0Rk9LR09tVkRrcHhFTXBMeU1aY0JEdVhBZmJqME0tbU1PaFFaTENkTUlWaE5hRXfSAa8BQVVfeXFMT3B3SHVLMF9ZZ2ZpUWhheW1LSkVXSnlQNXRTZjZBVUdkUkhKSE9FaGpmV011bmZZTFBCamlYWlRKb24xbFRRV2J1NjZmd3ZMeGJRaXlUNi0xd0o2UGFScGtKZF9EbG1JZ2QxTmE4UXBQM1d4SnZXWTl1ZjU5eGxEVzNXbzlZd0pTRnFMTUFQSnFqQmpnTElYdkY4MHBkM2w2RzVFX2VDSXY3Q0FfTFJNWQ?oc=5";"низкий"
"Для пенсионеров и инвалидов Степногорска открыли социальный магазин";"Торговля";"Степногорск";"";"2026-07-03";"Inbusiness.kz";"https://news.google.com/rss/articles/CBMingFBVV95cUxQbjhfeWVtQmVJNmoxanh3cVdJWURQenRrVFpsOHNWZEpIc2VrQ1RBbm4zb2FKR1VFcnNHWFhmbmhJZ09kVDVsd0w4UFdfN3RhdzRaNVJWSE5uTHJrX0ZyY2t1OEVlSUEybUlRZ1haeFdkSm1xeXJCUDZ1LWRnbC1FOC1jSk5Kc2dPb3FRMWZ4WVdabzBzU3ZVa2hsdlZzZw?oc=5";"высокий"
"«ВкусВилл» открывает первый магазин в Казахстане";"Торговля";"не определён";"";"2024-04-22";"retail.ru";"https://news.google.com/rss/articles/CBMikwFBVV95cUxNOFBZMU16UEw1Y1pVd1U1SFIzUmdVcmlfY0JuVmJpYk04SVZTRWF4aTZWLXpnWm5PWUVwc2JsYkpiVGNJeVprcXAzQ2tDSXNaUFpjb0J3LXExbS0zWWgwYmREZ1dMM3Z2Y1l2ZlBxbXRzZ3czZ0FkX01VdUFpVXk3ZTF2NmdnRkgyNm9uZGU0dy1Id28?oc=5";"низкий"
"Во всех региональных филиалах партии «AMANAT» откроются книжные магазины";"Торговля";"не определён";"";"2023-09-25";"«Астана» телеарнасы";"https://news.google.com/rss/articles/CBMiSkFVX3lxTE05aktiRHpPc0RncU5HTlg5bG9vRVJGVmFMaE8xekpGWWttR0V3cTBGbXlCS0lTM1RCZXJhWHRwUmdKci1BUkZLMnJ30gFPQVVfeXFMTWZSby1PVWFrLVJ2Yjh0QXJlTmZoQXVmZmVCOU1wV0w5QWNVV2g3T2VxbzVaTW40ZW9DekF0ay1vXy1wUnhTUW1iYm9xdU04Zw?oc=5";"низкий"
